Area of Residence,Country,Year,Visits by Country,Spendings by Country
Europe,Slovakia,2022 Q4,19000,16
Europe,Spain,2022 Q4,759000,400
Europe,Sweden,2022 Q4,235000,136
Europe,Switzerland,2022 Q4,268000,179
Europe,Turkey,2022 Q4,72000,72
Europe,Rest of Europe,2022 Q4,195000,221
Europe,Total Europe,2022 Q4,6886000,3889
Europe,EU,2022 Q4,6218000,3291
Europe,EU15,2022 Q4,5062000,2763
Europe,EU Other,2022 Q4,1156000,528
Other Countries,Egypt,2022 Q4,10000,14
Other Countries,Morocco,2022 Q4,7000,6
Other Countries,Tunisia,2022 Q4,3000,2
Other Countries,Other North Africa,2022 Q4,5000,9
Other Countries,South Africa,2022 Q4,63000,68
Other Countries,Nigeria,2022 Q4,55000,72
Other Countries,Other Africa,2022 Q4,24000,39
Other Countries,Israel,2022 Q4,82000,86
Other Countries,United Arab Emirates,2022 Q4,118000,269
Other Countries,Other Middle East,2022 Q4,115000,348
Other Countries,Hong Kong (China),2022 Q4,47000,94
Other Countries,Other China,2022 Q4,26000,64
Other Countries,India,2022 Q4,141000,239
Other Countries,Japan,2022 Q4,43000,51
Other Countries,Pakistan,2022 Q4,23000,52
Other Countries,Sri Lanka,2022 Q4,3000,3
Other Countries,Thailand,2022 Q4,23000,20
Other Countries,Other Asia,2022 Q4,186000,240
Other Countries,Australia,2022 Q4,179000,263
Other Countries,New Zealand,2022 Q4,36000,77
Other Countries,Barbados,2022 Q4,1000,2
Other Countries,Jamaica,2022 Q4,3000,3
Other Countries,Other Caribbean,2022 Q4,23000,42
Other Countries,Brazil,2022 Q4,68000,83
Other Countries,Mexico,2022 Q4,32000,27
Other Countries,Other Central & Sth. America,2022 Q4,72000,66
Other Countries,Rest of the World,2022 Q4,0,0
Other Countries,Total Other Countries,2022 Q4,1388000,2242
Total World,Total World,2022 Q4,9598000,7732
North America,Canada,2023 Q1,165000,173
North America,USA,2023 Q1,829000,920
North America,Total North America,2023 Q1,994000,1093
Europe,Austria,2023 Q1,61000,33
Europe,Belgium,2023 Q1,198000,88
Europe,Bulgaria,2023 Q1,55000,12
Europe,Czech Republic,2023 Q1,54000,19
Europe,Cyprus,2023 Q1,33000,26
Europe,Denmark,2023 Q1,150000,81
Europe,Finland,2023 Q1,42000,27
Europe,France,2023 Q1,673000,359
Europe,Germany,2023 Q1,469000,231
Europe,Greece,2023 Q1,61000,48
Europe,Hungary,2023 Q1,62000,13
Europe,Republic of Ireland,2023 Q1,740000,334
Europe,Italy,2023 Q1,418000,220
Europe,Lithuania,2023 Q1,31000,8
Europe,Luxembourg,2023 Q1,14000,4
Europe,Malta,2023 Q1,42000,26
Europe,Netherlands,2023 Q1,371000,171
Europe,Norway,2023 Q1,138000,99
Europe,Poland,2023 Q1,432000,101
Europe,Portugal,2023 Q1,110000,76
Europe,Romania,2023 Q1,214000,71
Europe,Russia,2023 Q1,5000,12
Europe,Slovakia,2023 Q1,33000,11
Europe,Spain,2023 Q1,497000,190
Europe,Sweden,2023 Q1,153000,75
Europe,Switzerland,2023 Q1,194000,166
Europe,Turkey,2023 Q1,64000,51
Europe,Rest of Europe,2023 Q1,154000,97
Europe,Total Europe,2023 Q1,5467000,2647
Europe,EU,2023 Q1,4968000,2241
Europe,EU15,2023 Q1,3956000,1937
Europe,EU Other,2023 Q1,1012000,304
Other Countries,Egypt,2023 Q1,3000,6
Other Countries,Morocco,2023 Q1,11000,23
Other Countries,Tunisia,2023 Q1,1000,1
Other Countries,Other North Africa,2023 Q1,7000,9
Other Countries,South Africa,2023 Q1,42000,51
Other Countries,Nigeria,2023 Q1,40000,84
Other Countries,Other Africa,2023 Q1,32000,51
Other Countries,Israel,2023 Q1,95000,102
Other Countries,United Arab Emirates,2023 Q1,79000,143
Other Countries,Other Middle East,2023 Q1,128000,389
Other Countries,Hong Kong (China),2023 Q1,40000,68
Other Countries,Other China,2023 Q1,22000,80
Other Countries,India,2023 Q1,90000,118
Other Countries,Japan,2023 Q1,57000,57
Other Countries,Pakistan,2023 Q1,18000,24
Other Countries,Sri Lanka,2023 Q1,3000,2
Other Countries,Thailand,2023 Q1,12000,20
Other Countries,Other Asia,2023 Q1,131000,173
Other Countries,Australia,2023 Q1,154000,184
Other Countries,New Zealand,2023 Q1,37000,41
Other Countries,Barbados,2023 Q1,3000,2
Other Countries,Jamaica,2023 Q1,3000,2
Other Countries,Other Caribbean,2023 Q1,15000,12
Other Countries,Brazil,2023 Q1,93000,111
Other Countries,Mexico,2023 Q1,35000,39
Other Countries,Other Central & Sth. America,2023 Q1,74000,90
Other Countries,Rest of the World,2023 Q1,2000,0
Other Countries,Total Other Countries,2023 Q1,1225000,1881
Total World,Total World,2023 Q1,7686000,5621
North America,Canada,2023 Q2,268000,240
North America,USA,2023 Q2,1687000,2048
North America,Total North America,2023 Q2,1955000,2288
Europe,Austria,2023 Q2,84000,69
Europe,Belgium,2023 Q2,225000,110
Europe,Bulgaria,2023 Q2,52000,25
Europe,Czech Republic,2023 Q2,67000,28
Europe,Cyprus,2023 Q2,23000,14
Europe,Denmark,2023 Q2,133000,65
Europe,Finland,2023 Q2,67000,43
Europe,France,2023 Q2,814000,393
Europe,Germany,2023 Q2,900000,514
Europe,Greece,2023 Q2,50000,37
Europe,Hungary,2023 Q2,73000,28
Europe,Republic of Ireland,2023 Q2,722000,300
Europe,Italy,2023 Q2,378000,227
Europe,Lithuania,2023 Q2,46000,15
Europe,Luxembourg,2023 Q2,25000,13
Europe,Malta,2023 Q2,28000,13
Europe,Netherlands,2023 Q2,492000,270
Europe,Norway,2023 Q2,160000,120
Europe,Poland,2023 Q2,421000,87
Europe,Portugal,2023 Q2,129000,47
Europe,Romania,2023 Q2,169000,55
Europe,Russia,2023 Q2,11000,5
Europe,Slovakia,2023 Q2,33000,13
Europe,Spain,2023 Q2,467000,225
Europe,Sweden,2023 Q2,205000,131
Europe,Switzerland,2023 Q2,246000,166
Europe,Turkey,2023 Q2,72000,105
Europe,Rest of Europe,2023 Q2,161000,107
Europe,Total Europe,2023 Q2,6256000,3228
Europe,EU,2023 Q2,5671000,2751
Europe,EU15,2023 Q2,4693000,2445
Europe,EU Other,2023 Q2,978000,307
Other Countries,Egypt,2023 Q2,9000,19
Other Countries,Morocco,2023 Q2,13000,5
Other Countries,Tunisia,2023 Q2,1000,0
Other Countries,Other North Africa,2023 Q2,8000,7
Other Countries,South Africa,2023 Q2,44000,60
Other Countries,Nigeria,2023 Q2,49000,83
Other Countries,Other Africa,2023 Q2,24000,51
Other Countries,Israel,2023 Q2,98000,86
Other Countries,United Arab Emirates,2023 Q2,95000,158
Other Countries,Other Middle East,2023 Q2,133000,301
Other Countries,Hong Kong (China),2023 Q2,62000,83
Other Countries,Other China,2023 Q2,81000,182
Other Countries,India,2023 Q2,186000,230
Other Countries,Japan,2023 Q2,37000,54
Other Countries,Pakistan,2023 Q2,23000,29
Other Countries,Sri Lanka,2023 Q2,5000,11
Other Countries,Thailand,2023 Q2,38000,60
Other Countries,Other Asia,2023 Q2,183000,246
Other Countries,Australia,2023 Q2,308000,415
Other Countries,New Zealand,2023 Q2,68000,93
Other Countries,Barbados,2023 Q2,2000,2
Other Countries,Jamaica,2023 Q2,0,0
Other Countries,Other Caribbean,2023 Q2,22000,15
Other Countries,Brazil,2023 Q2,82000,91
Other Countries,Mexico,2023 Q2,35000,38
Other Countries,Other Central & Sth. America,2023 Q2,86000,77
Other Countries,Rest of the World,2023 Q2,2000,1
Other Countries,Total Other Countries,2023 Q2,1694000,2398
Total World,Total World,2023 Q2,9906000,7913
North America,Canada,2023 Q3,352000,366
North America,USA,2023 Q3,1578000,2010
North America,Total North America,2023 Q3,1930000,2376
Europe,Austria,2023 Q3,94000,64
Europe,Belgium,2023 Q3,238000,164
Europe,Bulgaria,2023 Q3,58000,17
Europe,Czech Republic,2023 Q3,96000,46
Europe,Cyprus,2023 Q3,22000,19
Europe,Denmark,2023 Q3,185000,130
Europe,Finland,2023 Q3,47000,36
Europe,France,2023 Q3,835000,475
Europe,Germany,2023 Q3,900000,653
Europe,Greece,2023 Q3,48000,32
Europe,Hungary,2023 Q3,71000,21
Europe,Republic of Ireland,2023 Q3,768000,314
Europe,Italy,2023 Q3,399000,291
Europe,Lithuania,2023 Q3,50000,27
Europe,Luxembourg,2023 Q3,13000,16
Europe,Malta,2023 Q3,20000,11
Europe,Netherlands,2023 Q3,580000,416
Europe,Norway,2023 Q3,149000,99
Europe,Poland,2023 Q3,400000,135
Europe,Portugal,2023 Q3,135000,66
Europe,Romania,2023 Q3,197000,89
Europe,Russia,2023 Q3,8000,3
Europe,Slovakia,2023 Q3,39000,17
Europe,Spain,2023 Q3,598000,324
Europe,Sweden,2023 Q3,140000,111
Europe,Switzerland,2023 Q3,258000,237
Europe,Turkey,2023 Q3,94000,118
Europe,Rest of Europe,2023 Q3,153000,156
Europe,Total Europe,2023 Q3,6596000,4087
Europe,EU,2023 Q3,5995000,3537
Europe,EU15,2023 Q3,4980000,3091
Europe,EU Other,2023 Q3,1015000,446
Other Countries,Egypt,2023 Q3,8000,4
Other Countries,Morocco,2023 Q3,3000,3
Other Countries,Tunisia,2023 Q3,11000,6
Other Countries,Other North Africa,2023 Q3,4000,4
Other Countries,South Africa,2023 Q3,82000,108
Other Countries,Nigeria,2023 Q3,79000,143
Other Countries,Other Africa,2023 Q3,60000,79
Other Countries,Israel,2023 Q3,83000,78
Other Countries,United Arab Emirates,2023 Q3,160000,316
Other Countries,Other Middle East,2023 Q3,226000,550
Other Countries,Hong Kong (China),2023 Q3,99000,125
Other Countries,Other China,2023 Q3,201000,408
Other Countries,India,2023 Q3,184000,260
Other Countries,Japan,2023 Q3,81000,86
Other Countries,Pakistan,2023 Q3,22000,27
Other Countries,Sri Lanka,2023 Q3,6000,2
Other Countries,Thailand,2023 Q3,32000,32
Other Countries,Other Asia,2023 Q3,193000,255
Other Countries,Australia,2023 Q3,456000,669
Other Countries,New Zealand,2023 Q3,107000,154
Other Countries,Barbados,2023 Q3,4000,5
Other Countries,Jamaica,2023 Q3,3000,7
Other Countries,Other Caribbean,2023 Q3,26000,17
Other Countries,Brazil,2023 Q3,86000,125
Other Countries,Mexico,2023 Q3,68000,62
Other Countries,Other Central & Sth. America,2023 Q3,115000,123
Other Countries,Rest of the World,2023 Q3,3000,2
Other Countries,Total Other Countries,2023 Q3,2401000,3650
Total World,Total World,2023 Q3,10928000,10113
North America,Canada,2023 Q4,219000,191
North America,USA,2023 Q4,1028000,1280
North America,Total North America,2023 Q4,1247000,1471
Europe,Austria,2023 Q4,98000,78
Europe,Belgium,2023 Q4,206000,120
Europe,Bulgaria,2023 Q4,51000,23
Europe,Czech Republic,2023 Q4,67000,23
Europe,Cyprus,2023 Q4,24000,23
Europe,Denmark,2023 Q4,161000,86
Europe,Finland,2023 Q4,47000,31
Europe,France,2023 Q4,850000,407
Europe,Germany,2023 Q4,688000,432
Europe,Greece,2023 Q4,81000,67
Europe,Hungary,2023 Q4,93000,30
Europe,Republic of Ireland,2023 Q4,658000,288
Europe,Italy,2023 Q4,501000,234
Europe,Lithuania,2023 Q4,67000,28
Europe,Luxembourg,2023 Q4,29000,24
Europe,Malta,2023 Q4,34000,19
Europe,Netherlands,2023 Q4,518000,260
Europe,Norway,2023 Q4,153000,129
Europe,Poland,2023 Q4,375000,149
Europe,Portugal,2023 Q4,184000,104
Europe,Romania,2023 Q4,226000,80
Europe,Russia,2023 Q4,11000,8
Europe,Slovakia,2023 Q4,29000,13
Europe,Spain,2023 Q4,648000,329
Europe,Sweden,2023 Q4,175000,93
Europe,Switzerland,2023 Q4,269000,186
Europe,Turkey,2023 Q4,81000,57
Europe,Rest of Europe,2023 Q4,184000,147
Europe,Total Europe,2023 Q4,6506000,3469
Europe,EU,2023 Q4,5864000,2975
Europe,EU15,2023 Q4,4843000,2553
Europe,EU Other,2023 Q4,1021000,422
Other Countries,Egypt,2023 Q4,17000,28
Other Countries,Morocco,2023 Q4,16000,23
Other Countries,Tunisia,2023 Q4,2000,1
Other Countries,Other North Africa,2023 Q4,4000,5
Other Countries,South Africa,2023 Q4,51000,70
Other Countries,Nigeria,2023 Q4,52000,83
Other Countries,Other Africa,2023 Q4,34000,29
Other Countries,Israel,2023 Q4,30000,35
Other Countries,United Arab Emirates,2023 Q4,142000,297
Other Countries,Other Middle East,2023 Q4,174000,399
Other Countries,Hong Kong (China),2023 Q4,55000,106
Other Countries,Other China,2023 Q4,128000,195
Other Countries,India,2023 Q4,144000,195
Other Countries,Japan,2023 Q4,50000,46
Other Countries,Pakistan,2023 Q4,21000,30
Other Countries,Sri Lanka,2023 Q4,3000,2
Other Countries,Thailand,2023 Q4,39000,46
Other Countries,Other Asia,2023 Q4,184000,250
Other Countries,Australia,2023 Q4,251000,329
Other Countries,New Zealand,2023 Q4,53000,58
Other Countries,Barbados,2023 Q4,2000,12
Other Countries,Jamaica,2023 Q4,2000,2
Other Countries,Other Caribbean,2023 Q4,15000,19
Other Countries,Brazil,2023 Q4,83000,99
Other Countries,Mexico,2023 Q4,49000,35
Other Countries,Other Central & Sth. America,2023 Q4,86000,93
Other Countries,Rest of the World,2023 Q4,0,0
Other Countries,Total Other Countries,2023 Q4,1688000,2489
Total World,Total World,2023 Q4,9441000,7428
