Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
Total England,European Union,2019 Q2,5353000.0,2232.0,27775000.0
Total England,EU15,2019 Q2,4342000.0,1779.0,20627000.0
Total England,Other European Union,2019 Q2,1011000.0,453.0,7148000.0
Total England,Other Countries,2019 Q2,1847000.0,2225.0,21079000.0
Total England,Total World,2019 Q2,9083000.0,5908.0,59269000.0
Scotland,North America,2019 Q2,259000.0,299.0,1726000.0
Scotland,Europe,2019 Q2,452000.0,217.0,3016000.0
Scotland,European Union,2019 Q2,397000.0,194.0,2646000.0
Scotland,EU15,2019 Q2,366000.0,181.0,2409000.0
Scotland,Other European Union,2019 Q2,31000.0,13.0,237000.0
Scotland,Other Countries,2019 Q2,202000.0,193.0,2522000.0
Scotland,Total World,2019 Q2,913000.0,710.0,7263000.0
Wales,North America,2019 Q2,46000.0,26.0,200000.0
Wales,Europe,2019 Q2,187000.0,62.0,1071000.0
Wales,European Union,2019 Q2,179000.0,59.0,1019000.0
Wales,EU15,2019 Q2,151000.0,51.0,898000.0
Wales,Other European Union,2019 Q2,27000.0,8.0,121000.0
Wales,Other Countries,2019 Q2,74000.0,45.0,1018000.0
Wales,Total World,2019 Q2,306000.0,133.0,2290000.0
All Regions,North America,2019 Q2,1537000.0,1462.0,9621000.0
All Regions,Europe,2019 Q2,6879000.0,2964.0,34973000.0
All Regions,European Union,2019 Q2,6272000.0,2562.0,31756000.0
All Regions,EU15,2019 Q2,5187000.0,2083.0,24226000.0
All Regions,Other European Union,2019 Q2,1085000.0,479.0,7531000.0
All Regions,Other Countries,2019 Q2,1948000.0,2470.0,24620000.0
All Regions,Total World,2019 Q2,10364000.0,6896.0,69214000.0
North East,North America,2019 Q3,16000.0,6.0,68000.0
North East,Europe,2019 Q3,99000.0,27.0,409000.0
North East,European Union,2019 Q3,89000.0,24.0,368000.0
North East,EU15,2019 Q3,80000.0,21.0,301000.0
North East,Other European Union,2019 Q3,9000.0,3.0,68000.0
North East,Other Countries,2019 Q3,66000.0,75.0,739000.0
North East,Total World,2019 Q3,181000.0,108.0,1216000.0
North West,North America,2019 Q3,121000.0,64.0,575000.0
North West,Europe,2019 Q3,493000.0,188.0,2609000.0
North West,European Union,2019 Q3,449000.0,166.0,2385000.0
North West,EU15,2019 Q3,354000.0,141.0,1804000.0
North West,Other European Union,2019 Q3,95000.0,25.0,581000.0
North West,Other Countries,2019 Q3,285000.0,207.0,3029000.0
North West,Total World,2019 Q3,899000.0,459.0,6213000.0
Yorkshire and the Humber,North America,2019 Q3,57000.0,33.0,380000.0
Yorkshire and the Humber,Europe,2019 Q3,248000.0,96.0,2179000.0
Yorkshire and the Humber,European Union,2019 Q3,222000.0,83.0,1931000.0
Yorkshire and the Humber,EU15,2019 Q3,145000.0,38.0,674000.0
Yorkshire and the Humber,Other European Union,2019 Q3,77000.0,45.0,1256000.0
Yorkshire and the Humber,Other Countries,2019 Q3,147000.0,150.0,1867000.0
Yorkshire and the Humber,Total World,2019 Q3,452000.0,279.0,4426000.0
East Midlands,North America,2019 Q3,41000.0,18.0,258000.0
East Midlands,Europe,2019 Q3,232000.0,67.0,1179000.0
East Midlands,European Union,2019 Q3,205000.0,50.0,949000.0
East Midlands,EU15,2019 Q3,142000.0,41.0,628000.0
East Midlands,Other European Union,2019 Q3,63000.0,9.0,321000.0
East Midlands,Other Countries,2019 Q3,84000.0,70.0,1102000.0
East Midlands,Total World,2019 Q3,357000.0,154.0,2539000.0
West Midlands,North America,2019 Q3,74000.0,37.0,550000.0
West Midlands,Europe,2019 Q3,485000.0,242.0,3475000.0
West Midlands,European Union,2019 Q3,461000.0,225.0,3172000.0
West Midlands,EU15,2019 Q3,298000.0,105.0,1557000.0
West Midlands,Other European Union,2019 Q3,164000.0,120.0,1615000.0
West Midlands,Other Countries,2019 Q3,177000.0,162.0,2234000.0
West Midlands,Total World,2019 Q3,736000.0,441.0,6258000.0
East of England,North America,2019 Q3,93000.0,51.0,598000.0
East of England,Europe,2019 Q3,470000.0,146.0,3083000.0
East of England,European Union,2019 Q3,417000.0,125.0,2742000.0
East of England,EU15,2019 Q3,336000.0,91.0,1857000.0
East of England,Other European Union,2019 Q3,81000.0,33.0,885000.0
East of England,Other Countries,2019 Q3,189000.0,170.0,2191000.0
East of England,Total World,2019 Q3,752000.0,366.0,5873000.0
London,North America,2019 Q3,1129000.0,807.0,5810000.0
London,Europe,2019 Q3,3107000.0,1627.0,16503000.0
London,European Union,2019 Q3,2766000.0,1368.0,14789000.0
London,EU15,2019 Q3,2408000.0,1187.0,11285000.0
London,Other European Union,2019 Q3,358000.0,181.0,3504000.0
London,Other Countries,2019 Q3,1894000.0,2051.0,15634000.0
London,Total World,2019 Q3,6130000.0,4485.0,37947000.0
South East,North America,2019 Q3,236000.0,108.0,1231000.0
South East,Europe,2019 Q3,1221000.0,427.0,9831000.0
South East,European Union,2019 Q3,1118000.0,357.0,6495000.0
South East,EU15,2019 Q3,923000.0,311.0,5324000.0
South East,Other European Union,2019 Q3,195000.0,46.0,1171000.0
South East,Other Countries,2019 Q3,410000.0,350.0,4488000.0
South East,Total World,2019 Q3,1867000.0,885.0,15550000.0
South West,North America,2019 Q3,118000.0,77.0,789000.0
South West,Europe,2019 Q3,708000.0,317.0,4952000.0
South West,European Union,2019 Q3,674000.0,286.0,4684000.0
South West,EU15,2019 Q3,576000.0,254.0,4008000.0
South West,Other European Union,2019 Q3,98000.0,33.0,676000.0
South West,Other Countries,2019 Q3,183000.0,144.0,2556000.0
South West,Total World,2019 Q3,1009000.0,539.0,8298000.0
Total England,North America,2019 Q3,1532000.0,1202.0,10281000.0
Total England,Europe,2019 Q3,6172000.0,3136.0,44220000.0
Total England,European Union,2019 Q3,5595000.0,2685.0,37515000.0
Total England,EU15,2019 Q3,4595000.0,2189.0,27438000.0
Total England,Other European Union,2019 Q3,1000000.0,496.0,10077000.0
Total England,Other Countries,2019 Q3,2720000.0,3382.0,33879000.0
Total England,Total World,2019 Q3,10424000.0,7721.0,88379000.0
Scotland,North America,2019 Q3,299000.0,351.0,2113000.0
Scotland,Europe,2019 Q3,573000.0,356.0,4185000.0
Scotland,European Union,2019 Q3,515000.0,316.0,3826000.0
Scotland,EU15,2019 Q3,430000.0,283.0,3301000.0
Scotland,Other European Union,2019 Q3,85000.0,33.0,525000.0
Scotland,Other Countries,2019 Q3,391000.0,343.0,4526000.0
Scotland,Total World,2019 Q3,1262000.0,1050.0,10825000.0
Wales,North America,2019 Q3,52000.0,22.0,241000.0
Wales,Europe,2019 Q3,237000.0,71.0,1173000.0
Wales,European Union,2019 Q3,222000.0,62.0,1070000.0
Wales,EU15,2019 Q3,193000.0,56.0,910000.0
Wales,Other European Union,2019 Q3,29000.0,6.0,160000.0
Wales,Other Countries,2019 Q3,90000.0,108.0,914000.0
Wales,Total World,2019 Q3,379000.0,201.0,2329000.0
All Regions,North America,2019 Q3,1745000.0,1598.0,12806000.0
All Regions,Europe,2019 Q3,7156000.0,3715.0,50442000.0
All Regions,European Union,2019 Q3,6512000.0,3170.0,43247000.0
All Regions,EU15,2019 Q3,5389000.0,2622.0,32264000.0
All Regions,Other European Union,2019 Q3,1123000.0,548.0,10983000.0
All Regions,Other Countries,2019 Q3,2963000.0,3880.0,39535000.0
All Regions,Total World,2019 Q3,11864000.0,9193.0,102784000.0
North East,North America,2019 Q4,14000.0,11.0,167000.0
North East,Europe,2019 Q4,82000.0,31.0,623000.0
North East,European Union,2019 Q4,81000.0,31.0,622000.0
North East,EU15,2019 Q4,49000.0,25.0,503000.0
North East,Other European Union,2019 Q4,31000.0,6.0,119000.0
North East,Other Countries,2019 Q4,18000.0,98.0,539000.0
North East,Total World,2019 Q4,114000.0,140.0,1330000.0
North West,North America,2019 Q4,79000.0,38.0,454000.0
North West,Europe,2019 Q4,672000.0,244.0,2708000.0
North West,European Union,2019 Q4,594000.0,211.0,2429000.0
North West,EU15,2019 Q4,459000.0,177.0,1791000.0
North West,Other European Union,2019 Q4,135000.0,34.0,639000.0
North West,Other Countries,2019 Q4,189000.0,140.0,1728000.0
North West,Total World,2019 Q4,939000.0,422.0,4890000.0
Yorkshire and the Humber,North America,2019 Q4,36000.0,16.0,350000.0
Yorkshire and the Humber,Europe,2019 Q4,210000.0,91.0,1775000.0
Yorkshire and the Humber,European Union,2019 Q4,178000.0,74.0,1498000.0
Yorkshire and the Humber,EU15,2019 Q4,119000.0,45.0,716000.0
Yorkshire and the Humber,Other European Union,2019 Q4,58000.0,28.0,782000.0
Yorkshire and the Humber,Other Countries,2019 Q4,72000.0,67.0,701000.0
Yorkshire and the Humber,Total World,2019 Q4,319000.0,174.0,2827000.0
East Midlands,North America,2019 Q4,17000.0,6.0,70000.0
East Midlands,Europe,2019 Q4,254000.0,67.0,1525000.0
East Midlands,European Union,2019 Q4,245000.0,63.0,1455000.0
East Midlands,EU15,2019 Q4,152000.0,32.0,701000.0
East Midlands,Other European Union,2019 Q4,93000.0,31.0,754000.0
East Midlands,Other Countries,2019 Q4,40000.0,41.0,456000.0
East Midlands,Total World,2019 Q4,310000.0,115.0,2051000.0
West Midlands,North America,2019 Q4,46000.0,20.0,296000.0
West Midlands,Europe,2019 Q4,415000.0,133.0,1896000.0
West Midlands,European Union,2019 Q4,384000.0,121.0,1691000.0
West Midlands,EU15,2019 Q4,256000.0,88.0,1151000.0
West Midlands,Other European Union,2019 Q4,128000.0,33.0,539000.0
West Midlands,Other Countries,2019 Q4,74000.0,90.0,1219000.0
West Midlands,Total World,2019 Q4,534000.0,244.0,3411000.0
East of England,North America,2019 Q4,72000.0,24.0,402000.0
East of England,Europe,2019 Q4,365000.0,106.0,1809000.0
East of England,European Union,2019 Q4,332000.0,94.0,1701000.0
East of England,EU15,2019 Q4,230000.0,60.0,1238000.0
East of England,Other European Union,2019 Q4,102000.0,34.0,464000.0
East of England,Other Countries,2019 Q4,106000.0,112.0,1396000.0
East of England,Total World,2019 Q4,543000.0,242.0,3607000.0
London,North America,2019 Q4,801000.0,669.0,3695000.0
London,Europe,2019 Q4,3557000.0,1852.0,14888000.0
London,European Union,2019 Q4,3205000.0,1605.0,13460000.0
London,EU15,2019 Q4,2708000.0,1335.0,10206000.0
London,Other European Union,2019 Q4,497000.0,270.0,3254000.0
London,Other Countries,2019 Q4,1305000.0,1860.0,9847000.0
London,Total World,2019 Q4,5663000.0,4381.0,28431000.0
South East,North America,2019 Q4,163000.0,89.0,1060000.0
South East,Europe,2019 Q4,815000.0,338.0,3905000.0
South East,European Union,2019 Q4,744000.0,286.0,3338000.0
South East,EU15,2019 Q4,604000.0,232.0,2754000.0
South East,Other European Union,2019 Q4,140000.0,54.0,583000.0
South East,Other Countries,2019 Q4,199000.0,256.0,2798000.0
South East,Total World,2019 Q4,1176000.0,683.0,7763000.0
