Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
South West,North America,2019 Q4,72000.0,39.0,510000.0
South West,Europe,2019 Q4,314000.0,136.0,2233000.0
South West,European Union,2019 Q4,278000.0,105.0,1746000.0
South West,EU15,2019 Q4,240000.0,80.0,1359000.0
South West,Other European Union,2019 Q4,37000.0,25.0,386000.0
South West,Other Countries,2019 Q4,103000.0,87.0,1028000.0
South West,Total World,2019 Q4,489000.0,262.0,3771000.0
Total England,North America,2019 Q4,1091000.0,913.0,7004000.0
Total England,Europe,2019 Q4,6252000.0,2999.0,31364000.0
Total England,European Union,2019 Q4,5654000.0,2590.0,27939000.0
Total England,EU15,2019 Q4,4531000.0,2074.0,20419000.0
Total England,Other European Union,2019 Q4,1123000.0,516.0,7520000.0
Total England,Other Countries,2019 Q4,1776000.0,2752.0,19770000.0
Total England,Total World,2019 Q4,9118000.0,6664.0,58137000.0
Scotland,North America,2019 Q4,136000.0,108.0,987000.0
Scotland,Europe,2019 Q4,511000.0,323.0,3652000.0
Scotland,European Union,2019 Q4,433000.0,250.0,3038000.0
Scotland,EU15,2019 Q4,384000.0,219.0,2678000.0
Scotland,Other European Union,2019 Q4,49000.0,30.0,360000.0
Scotland,Other Countries,2019 Q4,191000.0,145.0,1889000.0
Scotland,Total World,2019 Q4,838000.0,576.0,6528000.0
Wales,North America,2019 Q4,30000.0,13.0,143000.0
Wales,Europe,2019 Q4,124000.0,50.0,634000.0
Wales,European Union,2019 Q4,118000.0,49.0,617000.0
Wales,EU15,2019 Q4,85000.0,39.0,458000.0
Wales,Other European Union,2019 Q4,33000.0,10.0,159000.0
Wales,Other Countries,2019 Q4,31000.0,63.0,504000.0
Wales,Total World,2019 Q4,185000.0,126.0,1281000.0
All Regions,North America,2019 Q4,1191000.0,1041.0,8169000.0
All Regions,Europe,2019 Q4,7215000.0,3497.0,35805000.0
All Regions,European Union,2019 Q4,6502000.0,2988.0,31702000.0
All Regions,EU15,2019 Q4,5295000.0,2428.0,23647000.0
All Regions,Other European Union,2019 Q4,1206000.0,560.0,8055000.0
All Regions,Other Countries,2019 Q4,1891000.0,3018.0,22999000.0
All Regions,Total World,2019 Q4,10297000.0,7555.0,66973000.0
North East,North America,2020 Q1,,,
North East,Europe,2020 Q1,,,
North East,European Union,2020 Q1,,,
North East,EU15,2020 Q1,,,
North East,Other European Union,2020 Q1,,,
North East,Other Countries,2020 Q1,,,
North East,Total World,2020 Q1,,,
