Period,Area of Residence,Total Visits,Total Spending in millions,Nights Spent,Purpose of Visit,Year,Visits by Purpose,Spending in millions,Number of visits by Air,Number of visits by Sea and Tunnel,Quarter
2022 Q1,World Total,3743000,2852,36558000,Business,2022,802000,572,349000,453000,Q1
2022 Q1,World Total,3743000,2852,36558000,Visit friends or relatives,2022,1738000,1088,1444000,294000,Q1
2022 Q1,World Total,3743000,2852,36558000,Miscellaneous,2022,259000,324,221000,38000,Q1
2022 Q1,World Total,3743000,2852,36558000,All visits,2022,3743000,2852,2786000,957000,Q1
2022 Q2,World Total,7957000,6847,63065000,Holiday - All,2022,3295000,3141,2596000,699000,Q2
2022 Q2,World Total,7957000,6847,63065000,Holiday - Inclusive tour,2022,254000,338,184000,70000,Q2
2022 Q2,World Total,7957000,6847,63065000,Business,2022,1289000,1344,856000,434000,Q2
2022 Q2,World Total,7957000,6847,63065000,Visit friends or relatives,2022,2856000,1753,2433000,424000,Q2
2022 Q2,World Total,7957000,6847,63065000,Miscellaneous,2022,517000,597,449000,68000,Q2
2022 Q2,World Total,7957000,6847,63065000,All visits,2022,7957000,6847,6333000,1624000,Q2
2022 Q3,World Total,9946000,9066,91255000,Holiday - All,2022,4306000,4442,3400000,906000,Q3
2022 Q3,World Total,9946000,9066,91255000,Holiday - Inclusive tour,2022,374000,505,288000,85000,Q3
2022 Q3,World Total,9946000,9066,91255000,Business,2022,1449000,1419,942000,507000,Q3
2022 Q3,World Total,9946000,9066,91255000,Visit friends or relatives,2022,3468000,2542,3026000,442000,Q3
2022 Q3,World Total,9946000,9066,91255000,Miscellaneous,2022,723000,649,655000,68000,Q3
2022 Q3,World Total,9946000,9066,91255000,All visits,2022,9946000,9066,8023000,1923000,Q3
2022 Q4,World Total,9598000,7732,71987000,Holiday - All,2022,3547000,3118,2990000,557000,Q4
2022 Q4,World Total,9598000,7732,71987000,Holiday - Inclusive tour,2022,269000,259,220000,50000,Q4
2022 Q4,World Total,9598000,7732,71987000,Business,2022,1609000,1647,1024000,585000,Q4
2022 Q4,World Total,9598000,7732,71987000,Visit friends or relatives,2022,3718000,2174,3253000,466000,Q4
2022 Q4,World Total,9598000,7732,71987000,Miscellaneous,2022,723000,782,671000,53000,Q4
2022 Q4,World Total,9598000,7732,71987000,All visits,2022,9598000,7732,7938000,1660000,Q4
2023 Q1,World Total,7686000,5621,55215000,Holiday - All,2023,2769000,2113,2343000,426000,Q1
2023 Q1,World Total,7686000,5621,55215000,Holiday - Inclusive tour,2023,174000,138,146000,28000,Q1
2023 Q1,World Total,7686000,5621,55215000,Business,2023,1417000,1127,879000,538000,Q1
2023 Q1,World Total,7686000,5621,55215000,Visit friends or relatives,2023,2852000,1670,2485000,367000,Q1
2023 Q1,World Total,7686000,5621,55215000,Miscellaneous,2023,647000,698,606000,41000,Q1
2023 Q1,World Total,7686000,5621,55215000,All visits,2023,7686000,5621,6313000,1372000,Q1
2023 Q2,World Total,9906000,7913,72968000,Holiday - All,2023,4396000,4117,3528000,868000,Q2
2023 Q2,World Total,9906000,7913,72968000,Holiday - Inclusive tour,2023,380000,377,273000,108000,Q2
2023 Q2,World Total,9906000,7913,72968000,Business,2023,1696000,1263,1134000,562000,Q2
2023 Q2,World Total,9906000,7913,72968000,Visit friends or relatives,2023,3120000,1911,2695000,425000,Q2
2023 Q2,World Total,9906000,7913,72968000,Miscellaneous,2023,694000,606,624000,69000,Q2
2023 Q2,World Total,9906000,7913,72968000,All visits,2023,9906000,7913,7981000,1925000,Q2
2023 Q3,World Total,10928000,10113,99845000,Holiday - All,2023,4961000,5366,3815000,1146000,Q3
2023 Q3,World Total,10928000,10113,99845000,Holiday - Inclusive tour,2023,518000,690,406000,112000,Q3
2023 Q3,World Total,10928000,10113,99845000,Business,2023,1587000,1435,982000,605000,Q3
2023 Q3,World Total,10928000,10113,99845000,Visit friends or relatives,2023,3597000,2467,3142000,455000,Q3
2023 Q3,World Total,10928000,10113,99845000,Miscellaneous,2023,782000,818,710000,72000,Q3
2023 Q3,World Total,10928000,10113,99845000,All visits,2023,10928000,10113,8649000,2278000,Q3
2023 Q4,World Total,9441000,7428,64842000,Holiday - All,2023,3758000,3283,3228000,529000,Q4
2023 Q4,World Total,9441000,7428,64842000,Holiday - Inclusive tour,2023,310000,254,258000,52000,Q4
2023 Q4,World Total,9441000,7428,64842000,Business,2023,1775000,1417,1153000,621000,Q4
2023 Q4,World Total,9441000,7428,64842000,Visit friends or relatives,2023,3279000,2094,2862000,417000,Q4
2023 Q4,World Total,9441000,7428,64842000,Miscellaneous,2023,630000,622,587000,42000,Q4
2023 Q4,World Total,9441000,7428,64842000,All visits,2023,9441000,7428,7831000,1610000,Q4
